label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
real,-291.96533,111.8531,-3.2760468,-9.142947,-19.546846,-7.051019,-15.28993,-42.70961,-10.860816,2.290368,-20.51636,-5.1590414,-13.313795,2.9953375,-11.098159,-5.468717,-12.657917,-9.748369,-7.9501824,-13.512041,-11.314896,-3.6530948,-1.8966676,2.100419,-0.8921104,-0.2752361,-3.2266734,0.12638237,-5.0053205,0.8277144,-4.1845617,-3.391383,-0.39607817,-3.1487598,-2.9905214,-0.87426424,-8.150651,0.6730522,0.6340697,-0.7120114,-2.1783237,-1.2124277,3.8683178,1.5223567,-0.751968,1.9469581,2.3904526,2.6966958,-0.47840232,-2.654267,-1.5747229,-3.6259675,1.4073963,-0.12984762,-2.3593483,-2.4980016,-1.2066998,0.89652956,-2.929333,0.64950114,0.6371425,2.8328886,1.1486924,-0.7674817,1.8781784,2.0085492,-0.8801658,0.9856431,0.1757993,1.4263371,-1.3272476,-1.756211,0.16295397,-0.49260107,-0.5769297
real,-314.13046,58.319435,15.2741375,41.81527,-16.077265,-12.502652,-25.226622,-27.550978,-13.595281,-0.16028914,-24.169342,-3.4104764,-19.909573,7.5581746,-16.0668,-12.028178,-2.7353194,-10.213748,-4.723853,-8.637505,-6.3782873,-5.073483,-12.648274,1.5187941,-4.8187456,0.48817787,1.0583631,0.35365367,-0.9185475,-3.1021426,-3.1693459,-0.8074811,-1.2077447,3.346048,-6.966871,-1.850171,-4.469841,0.14060089,-4.706219,-1.9774667,-5.327099,-0.44796893,-0.6800727,1.1465148,-1.9106551,0.83055514,-2.8527012,1.4419359,-1.8511995,0.41207644,1.0517806,2.9854093,-2.1046712,1.0050563,-1.5365539,-1.7256575,-3.9128532,1.7334437,-0.8458595,0.9482952,-2.1869276,1.3340954,1.4304552,-0.39266258,-1.3909267,1.0443558,-0.4221452,-2.31777,-0.6702077,1.322996,-0.7339071,-1.5237296,-0.3919805,0.47689104,-1.3350086
real,-286.80048,64.9263,-5.7902627,0.01700384,-28.37016,-22.822414,-27.485933,-10.382315,-9.658283,-3.5820184,-23.981821,-2.9325104,-19.392467,-5.0105286,-3.5608807,-20.098919,-10.638509,-6.6067214,-4.046744,-11.472005,-5.4108176,2.0104835,-3.4313521,8.34514,4.8662696,3.3194609,-1.8869759,7.2795405,-7.9364924,0.06637958,-6.713096,-6.325481,-2.7995098,-2.3537428,-7.630923,-4.050916,-0.8797723,0.7411596,-3.0545857,-2.1194074,0.18740042,6.0798044,6.3878646,1.6445177,3.1026516,1.1887214,-1.5714356,0.14940552,1.0953101,4.046403,0.9460309,-0.78630316,-3.3729599,-0.5109829,-0.5369171,1.334427,-1.5716165,1.0199366,-2.8411362,-2.3271565,-1.6680536,0.8655035,-0.8148928,-1.6686417,0.44486555,-0.19051555,-1.7654692,0.105634086,0.33332974,-0.90261424,-2.1005118,0.017833075,-0.9519297,0.16693516,1.1915478
real,-293.02676,85.56787,5.626573,29.029573,-17.269585,-37.293213,-12.190254,-26.921833,-25.011644,-3.0550835,-20.559017,1.6281713,-21.151308,9.425064,-13.530489,-9.5211935,-8.864149,-12.557687,-6.1441445,-11.397784,-2.8815715,-9.01025,-9.746731,-5.5710015,-8.571648,-2.0810304,-1.8730848,-1.995599,-0.083166905,-0.63911766,2.0958028,7.163547,1.054262,3.672683,0.19034639,-0.93698233,-3.1440413,-3.5199902,-5.9098516,-0.042242996,-1.6145371,0.8142031,-6.2185144,-1.1619678,-0.53434867,1.9412183,-0.48228693,-4.8422623,-1.5310248,1.3641416,2.102931,-2.6846828,-3.8291159,0.7110518,-0.4568554,0.5644676,0.18281882,2.0282085,2.000103,-1.1855079,-0.8249581,2.2892141,2.028486,2.7585626,0.3428167,1.9358629,2.6049783,0.5920742,0.032900006,0.8179062,1.400678,1.0879264,0.37584922,0.92611295,0.17019925
real,-314.5667,41.574978,7.6749787,42.892345,3.4613764,-10.073451,-30.070864,-18.656466,-15.36528,-1.3588234,-17.747763,-11.649153,-7.1919065,2.255,-11.542604,-4.1555696,-3.324815,-9.799706,-3.1571517,-7.8450665,-8.087588,-8.46046,-9.105733,-2.3819816,-3.211357,-5.7372584,4.383375,0.88543874,-4.8195415,2.1645205,-1.0905032,-2.9624152,0.55110955,3.7109017,-3.99585,1.6926099,-0.45729542,5.38382,-1.5070064,0.6480711,-0.23447023,1.5558089,2.0160437,2.9256833,-1.9320276,-0.8544981,-1.5536011,2.7342427,-1.5334605,-0.7721176,-0.57787204,2.2911198,-3.2505267,0.11308878,-2.6785536,-1.4692749,-5.3562775,1.309365,-1.9068218,2.603943,-2.2243078,-0.31471875,-1.1860043,1.623688,-2.6421502,-1.4452146,-2.2753053,-3.169234,-2.6352131,-1.2408336,-2.7347374,-2.7811255,-2.2802403,-1.2909809,-0.2789946
real,-284.59885,87.70283,-13.892061,13.209178,-21.9779,-20.150707,-9.541914,-27.00199,-9.800655,-5.057558,-22.464476,1.878757,-23.53812,8.009375,-6.6970944,-8.552198,-8.858927,-9.913214,-3.2665126,-13.885628,-5.1567907,-3.8238509,-11.715131,-3.8200948,-9.045549,-9.681438,-4.126132,-8.366639,-7.7503886,-1.857034,-2.3981438,6.5319023,10.636285,6.3492637,0.38252652,-2.02703,-3.5856419,0.3509862,2.7763999,4.588406,-1.4783252,-3.2182593,-4.550838,1.7751191,-0.54460806,1.0509005,-0.72987956,-2.064597,-2.470416,2.6335845,-1.1838491,-1.4255549,-3.054994,-0.50289226,1.0608579,-1.3189796,-2.3596025,-1.1793661,0.019086638,0.9221407,-2.2084777,-1.2131797,0.19952069,3.905345,3.25953,3.4779177,1.5270265,1.4784734,-0.73423535,-0.42361438,0.7084771,1.4924493,-0.058787815,-0.24604242,0.2742045
real,-276.92645,126.974846,-20.547836,-5.076384,-17.35608,-18.74835,-17.651173,-32.73693,-12.673498,-4.7414465,-19.176235,-9.17212,-12.506076,7.1017213,-14.72532,-6.2135344,-8.781725,-13.904696,-7.7425647,-17.903488,-7.5172286,-7.3931704,-2.377189,-0.26284578,2.1420896,-1.4866073,-4.2634506,0.664473,-0.48946357,1.9805484,-0.09826757,-3.613621,-6.888106,-1.9359444,-0.76179457,2.2281191,-1.331181,-3.588077,-1.7161055,-1.4522685,-5.000797,-1.3526201,-0.42753923,5.0200047,-1.2024904,3.1076348,3.1911378,1.4210823,0.4126789,-3.6982217,-1.5113158,1.8969051,-2.629225,-0.8521239,-0.4136471,0.16483103,-0.7027086,0.77366483,1.2710652,0.24403962,-1.9588284,1.9995558,-0.5202013,-2.475947,-2.081092,1.491479,-0.44423848,-0.2124685,0.46513632,1.6580589,-1.5880191,0.76433367,-1.2246207,-1.6428003,-0.17783447
real,-310.72205,138.6007,-6.5415645,-3.8188653,-25.469618,-9.983531,-6.6840696,-29.900364,-21.391918,0.96204275,-14.9903345,-11.663218,-13.432488,10.703008,-17.621675,-11.596844,-0.9384012,-6.4758334,-7.5479007,-9.742123,-1.8687936,-2.6804178,-7.395333,-1.5304013,-3.9674537,-9.356446,-1.3335283,0.6272566,0.8139543,-0.6700114,-4.7054796,-4.3136854,-7.3319535,-2.6013374,-1.5086788,2.1920698,-3.4563425,-2.4355497,-1.2793158,-3.6102695,-2.3442392,0.9347636,3.10794,2.4180167,1.2139916,3.7346673,-0.87430394,-1.2063136,4.7314844,4.4173884,2.0786896,0.91540885,0.2269964,1.3156537,-0.62678295,2.2474155,0.41053808,1.9619468,-1.2826679,-0.6708644,-1.1777222,-0.9371476,-2.0656543,-0.8145162,-3.1124313,0.01732813,-1.7992654,-0.339827,-2.4069574,-2.204293,-2.4749258,-2.0983863,-1.3660431,-2.7638304,-1.8019114
real,-306.3524,113.977394,0.03213501,15.56774,-17.957376,-28.957863,-11.292306,-22.776228,-11.879434,-0.59511864,-21.450909,-2.7162023,-21.352392,2.079853,1.456199,-9.258332,-6.3068686,-8.32368,-2.5136497,-11.066346,-9.12893,-10.905394,-9.367233,-0.63505703,-4.3735385,-6.4047046,2.9076393,-1.5645833,-3.9232996,1.3812352,-7.723475,0.4118578,0.55684125,6.280696,1.3899634,0.829458,1.3078847,1.3803014,2.7637985,1.5054994,1.4226633,-0.4578176,-4.557671,0.9253477,-2.299265,0.55485076,0.24850687,0.50482553,-0.45235097,0.48655832,1.9075099,0.80914026,0.7524414,-3.528888,-2.211941,-2.0306718,-0.8989472,-3.0183911,-2.0899098,-2.2324514,-2.733592,-0.84340847,-3.5374808,-0.46598703,-1.3740038,-0.7646676,-2.427436,-1.0184556,-0.83845484,1.0875039,-1.7364541,-2.3185809,-2.1568272,0.9412619,-0.7327798
real,-329.02985,125.26773,3.5292146,7.1925893,-32.92575,-21.290892,-7.5621576,-18.25716,-22.59698,0.6497866,-8.592182,-8.595989,-16.36813,5.8366065,-14.286376,-4.2740035,-8.47555,-7.957658,-5.9098263,-8.394522,2.5694513,-7.713729,-0.0054646134,-4.054307,-9.232769,-5.8018513,-8.127173,-2.928535,-7.8404865,0.33447248,0.07929531,5.461333,3.629282,-4.246995,-4.548072,-6.6244583,-3.645343,3.6778355,2.614571,4.4542146,-0.41355348,5.0843825,4.1861753,6.4055614,-0.33811954,0.25338286,-0.96202445,-0.09110382,0.38183874,-1.3902194,-2.1922216,-2.277607,-0.9960469,-0.43151796,-2.0044134,-3.1050558,-0.90546787,-2.486638,-2.1596682,-1.3180811,-0.91817564,1.6289356,-1.586827,-0.86461335,0.060991727,-1.4086748,-2.9084158,-3.2430036,-0.25342065,-0.50236636,-2.6892898,-2.7947364,-2.2474837,0.33901447,-1.3098589
