label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
real,-346.22195,62.606815,15.470532,50.548313,-4.1253214,-30.642038,-26.906807,-14.419518,-10.171572,-11.520359,-28.21137,-5.255692,-19.6572,3.2029002,-9.594224,-10.875904,-4.8461514,-6.2550135,-8.468755,-5.8629622,-4.160502,-13.782747,-6.5780525,-6.117489,-11.701124,-5.114472,-2.8958085,-6.426094,-2.17563,-3.3475752,-6.0593653,0.24315308,-0.897156,2.1174092,-1.2888885,-1.8925647,-2.3732812,1.8849118,-0.37622413,6.660579,-1.5380042,2.7321677,-4.4819245,0.6610784,0.13216436,2.980037,-2.6784275,-1.4708441,-1.9486095,0.13836846,2.8120406,0.38354152,-1.5299984,-0.17169514,-1.2702984,1.5264151,-0.9860518,-2.368494,-2.1647148,0.2341424,-1.0880187,-2.0854638,-2.0621703,0.73706704,0.5436743,1.7142419,0.096850485,1.9998363,1.9414816,1.3007762,-0.5722372,1.648042,-0.4718719,0.3769381,-1.4941249
real,-316.10327,120.18907,6.1762967,1.5219498,-26.202164,-10.610514,-9.50446,-37.66853,-19.441141,4.413045,-16.578941,-9.128589,-15.323385,0.059264164,-12.60354,-8.657096,-9.01509,-2.115998,-4.842518,-9.58483,1.7579716,-4.042524,-2.5330637,0.30608162,-4.24557,2.7266793,-6.592178,-2.9495578,-4.4672084,-3.6481123,-2.293619,-4.3810716,0.5443021,1.5843465,1.790449,4.094341,-3.6266956,-1.0829709,-5.682505,2.3561995,1.4425747,3.872794,-2.683983,-4.5742273,-4.4094243,1.4556006,2.6314251,-1.0135385,-1.9603047,-1.0941217,2.4503584,-0.3799782,-3.640678,-0.6244235,-1.5251321,2.3654795,0.06934636,0.2029803,-0.096145555,1.4747041,-1.1489656,-1.6723512,-3.519649,0.9356451,-0.87454325,1.5026994,-1.6793468,0.8090006,0.26420683,-0.13087678,-2.3449497,-1.8155746,-0.76439583,0.5249782,0.4941545
real,-286.61353,34.66041,27.828785,38.40893,-14.240249,-27.532421,-31.152021,-11.043924,-10.429358,-0.4032244,-29.856237,-0.16684555,-12.122872,0.40232003,-7.481033,-13.738653,-5.3110137,-3.1908092,-9.146696,-2.260785,-8.994587,-8.83991,-6.4984093,-2.913331,-2.3726928,0.27137616,1.5357994,3.4358797,-2.4919648,6.7776003,-0.2751124,3.0772715,-2.2826297,1.0232395,-4.3416057,-6.5944953,0.9204963,0.16921778,-1.362508,-2.0843444,-7.831052,1.2825998,0.03491998,4.00347,1.7218487,-2.1447327,-0.691602,0.84639066,-0.44812486,-0.6412031,-1.7926358,5.4331913,0.7908557,1.4103155,-3.915473,-0.28538722,-2.179051,-1.5184958,-1.8032967,0.0042530773,-3.4641623,1.3293644,0.8061497,0.78251296,-2.7001026,0.11664915,-2.3232255,-2.4219773,0.09566524,0.03429225,-2.6837168,-1.2571859,-1.8146901,-1.4641722,-1.38165
real,-351.45786,57.367104,25.991817,47.678326,-3.2990804,-30.197136,-31.85724,-25.0469,-26.326778,-2.3706777,-22.923813,-5.7320075,-21.151714,3.1502516,-12.021142,-11.15789,-10.635219,-12.381619,-2.2595441,-7.236204,-7.2088656,-2.3099775,-6.178515,0.0954537,-7.268805,-3.8369982,-3.7531893,-0.16385755,-2.997492,3.027544,-2.637987,-1.9419945,-3.6498883,1.1988708,0.5118823,0.14852223,-1.9725293,2.3208945,-0.6693683,2.980198,-4.7154684,0.277798,-1.1235428,-1.2523432,-1.8142915,0.12470518,0.60388553,-0.661174,-0.8498836,-1.3477825,0.117100336,-1.7138251,0.12864959,0.6705495,-0.61396766,-0.6564391,-1.3844242,0.028785283,-0.37872615,0.11064128,-0.12811504,-0.23060611,-0.08977647,-1.1237596,-0.41740355,0.06086389,-2.0211189,-0.26732552,0.12802419,-0.30984703,-1.0436306,-0.6029674,-0.39578435,-0.13597783,-0.36939034
real,-317.8332,113.219185,-10.552312,-3.2467318,-22.017174,-21.526033,-21.014166,-22.68261,-10.40344,-2.7904844,-16.789602,-9.172017,-16.465885,2.4959562,-16.647556,-9.822059,-7.986842,-14.585842,-6.130735,-9.0116,-5.9346843,-5.246355,-9.860303,-5.993406,-4.100115,-2.294311,2.4824111,-4.335958,-9.872906,-9.841581,-8.576699,-6.1753707,-6.9902253,-4.1379304,-2.6808581,4.748138,12.276935,15.972551,11.1281,3.2484405,-3.9668093,-3.1199026,-0.6531227,1.4456872,-0.942841,-3.8195362,-3.4571576,-4.77574,-1.0125151,1.661938,1.2377795,1.5611545,-4.790701,1.763893,1.3505243,-0.5644505,-5.0151615,-0.9097183,1.6750609,1.783504,-5.663486,0.36291778,1.4235145,0.24283159,-2.7102282,0.6600122,-2.5754373,-1.9710552,0.37123227,2.0495636,-0.8667811,1.1346523,2.330142,3.1937716,2.5896065
real,-302.57303,78.04978,0.2959051,36.314278,-8.678719,-34.353348,-18.978506,-20.569256,-18.615273,-11.545192,-26.751293,5.677824,-15.962692,-3.8750052,-4.4579787,-15.906411,-3.0711098,-9.1869755,-9.816841,-8.770171,-8.223729,-10.9108715,-10.597721,1.7377044,-3.6391053,0.10923183,0.53429174,-0.68877697,-2.3869572,2.6114864,-3.9169235,3.4875789,4.7772446,7.2218227,6.9547358,-0.16723841,-2.4873786,-1.1524295,-4.588589,0.27872092,-3.8915493,-2.9477367,-4.5796013,-1.8140054,-1.7270854,-1.6266901,-1.6362308,-2.8475137,-2.0682402,1.4698963,-2.2543678,-1.5725163,-2.5616336,3.1562567,-0.4429548,-1.5052881,-3.7226112,0.39955664,-4.0610585,-1.6566522,0.47779143,0.5268216,-1.8066323,0.28805125,-0.16392234,1.2076267,-1.6564265,1.092957,0.42510858,0.9602683,-0.78587896,0.46670586,0.7895626,0.39365265,-0.6890143
real,-324.88562,119.50716,14.74803,-16.231358,-58.236332,-21.78249,6.72223,-20.05926,-26.885342,-12.834091,-17.436419,-3.6814587,-5.91848,-1.7232414,-14.692743,-6.0549645,-8.160718,-14.323185,-4.49667,-9.378029,-7.571926,-3.6387534,-6.5056605,-2.3592796,-6.4335113,-3.6687007,-6.438038,-5.2875366,-8.887272,-6.10713,-5.829199,2.1219285,1.623094,3.838095,3.7820914,5.9088902,-3.5388517,1.1074697,-3.2290766,3.7597435,2.7530894,2.0624273,-1.2128875,3.3934767,-1.007664,2.449089,4.2604833,2.996626,1.8119707,1.2831451,0.6144385,1.4708838,-1.1904383,-1.8279092,-2.923144,0.131906,-1.1007878,-0.5677087,-1.486896,-1.2700088,-1.4064811,0.97288895,-1.3787137,0.5186304,-0.44219217,0.08107806,1.1849692,1.2282207,-0.2245113,-0.2212716,0.0681646,-0.31419146,-0.50791955,-1.2358457,0.13128579
real,-293.34262,116.58651,4.921299,-4.2669444,-36.27817,-28.913298,-4.223339,-24.462051,-17.806906,2.706415,-22.624186,-7.6931334,-13.632771,3.3197103,-15.693325,-6.344636,-13.349858,-13.275385,-6.283659,-9.870105,-8.948585,-9.152271,-11.607886,-3.3332274,-5.0705347,-1.8587196,-2.9742055,-5.6626096,-2.812097,-1.5848,4.061922,7.0013022,5.9156623,3.1834278,-6.9738007,-2.2260902,-2.5681825,0.40267557,0.030159906,-2.4307158,-2.8933654,1.08381,3.0202718,4.35551,0.36843047,-0.87647426,-1.4625938,-1.2456706,-0.57622534,0.45802933,-1.9370028,-1.4067302,-3.5755203,1.469674,-2.2874622,-1.4236432,-3.2902482,0.979608,-1.0004797,1.6417416,0.90366703,4.727915,2.7900362,3.173479,0.4927963,1.6263452,-0.6883792,0.57945526,0.32597053,0.97217184,1.3273706,0.08181718,1.0033219,1.666851,0.7397609
real,-294.70602,121.2421,-23.837107,18.710205,-15.066543,-19.661762,-8.237562,-36.842575,-20.35657,1.2717457,-14.257443,-1.5024298,-17.969982,5.37529,-13.389466,-14.031423,-3.657261,-9.418823,-2.662835,-8.846277,-4.719963,-1.0133705,-11.811369,-2.7989922,0.2584595,-5.46624,-2.132213,-4.783104,-6.451888,-2.7226448,-5.9785194,-1.8249315,-2.9872994,-5.4886303,-3.1874928,-1.5920007,0.24825715,4.7726746,3.6199868,9.123535,1.7923653,1.8936617,-2.670362,-3.2100544,-1.9812844,0.43359965,2.1058888,0.41509148,-0.5953253,2.2069752,2.5547,1.5918901,-1.3636725,-1.5524181,-2.2363026,0.4471116,-1.7899364,1.2804247,-2.6309419,-0.72809577,-0.8852496,1.8189676,-2.0174153,-1.5456822,-2.5479455,0.40663192,-1.1083326,-1.5028454,-1.7806716,-0.17797424,-1.2774886,-1.7922579,-0.8294847,0.17751399,-0.17604698
real,-312.89066,97.53009,5.803292,-19.719742,-16.609182,-4.2877913,-26.458626,-29.920965,-15.594308,13.606686,-19.44297,-19.112032,-7.3025675,-3.3454242,-18.811775,-5.383522,-9.2409935,-12.955925,-7.6801715,-5.91662,-9.864708,-10.1996975,-3.584126,2.9616256,3.754656,6.219719,2.4203732,-1.8501279,-9.50402,2.137453,-1.430577,0.4139273,-6.9262733,-4.4388514,-6.9072,-2.6700947,-2.377376,2.0838718,-1.8198005,-1.7952486,-0.64035857,-1.6604218,-4.154923,-3.0433128,-3.1316593,-1.361901,0.9983456,0.6687441,0.8368287,0.01469705,0.17643343,1.1688737,2.6538055,1.1342702,-0.64493763,-0.19868836,1.7710291,0.21412668,1.9100461,0.5961849,-0.7487155,0.30708134,0.09441405,-0.13341367,-2.0367203,-0.8733707,0.20742507,0.1914334,-0.8540858,0.22246101,-0.60566497,0.19816607,0.9339894,0.7487157,0.35293442
