label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
real,-315.8512,119.60781,-14.497633,6.915944,-34.447987,-29.081812,-9.758804,-9.604541,-5.9929485,-2.7210085,-23.050562,-0.8877031,-12.409094,3.2743402,-8.921077,-9.155433,-8.728565,-3.1358016,-3.7190826,-7.0766845,-5.3074913,-6.1218834,-8.875713,-5.001147,-3.0114522,1.4289697,-0.95528007,-2.7300856,-1.0956028,-0.31335485,-4.2847557,-2.0158596,-3.2055957,-0.9235645,-4.785016,-3.9179666,-2.457426,-0.2355467,2.980905,3.5342975,4.085246,5.9424663,0.5538261,2.1152143,-0.87324935,-2.6666832,-1.6240114,-2.061581,-1.1794713,-0.7618615
real,-303.44357,84.774086,4.9248214,10.536232,-18.274338,-30.664982,-14.840451,-2.445735,-20.096682,-3.9372234,-14.7898445,-7.854128,-13.34307,4.0337825,-7.904838,-11.736194,-8.292537,-4.41952,-7.646706,-12.0186205,-0.4065182,-9.534342,-6.61522,-4.685521,-9.552095,-8.225438,-3.6293054,-6.9192085,-5.3960223,-6.6012573,-6.8374057,-4.6923523,-2.5464003,3.9604218,4.0203056,6.7268963,2.5965176,2.3430097,-3.6019433,1.5377614,-3.0739992,5.439653,-0.068658896,4.5249796,-0.0037484022,2.4831016,2.4461775,1.6923015,-2.182437,-1.3785951
real,-301.75394,95.124916,-5.1089106,24.773851,-10.900089,-36.409744,-25.162357,-26.693094,-7.052926,-14.879055,-34.56843,8.595648,-23.39184,3.2378342,-4.3827853,-18.006641,-6.466903,-7.2975526,-2.973706,-6.784117,-5.0750155,-5.1649675,-9.308693,-3.9348211,-2.355258,-3.364914,-0.008711309,-1.7524207,-3.9038787,2.1236472,-6.8181834,-0.36602294,-3.513253,1.3091415,-0.8699975,-1.1627221,-2.4695714,1.7780988,0.86257684,-0.45190942,1.5083096,0.48276272,-0.92301834,1.4924647,-1.5526797,0.75204545,-1.94243,1.825069,0.24651822,1.969572
real,-316.2178,123.4751,-19.285254,0.8931816,-11.037202,-12.125558,-19.144672,-32.288177,-17.046465,5.4133906,-18.288319,-10.91551,-14.057768,9.742878,-15.074155,-9.10321,-8.03859,-3.5923426,-4.5771985,-11.051509,-3.9899561,-3.2705896,-10.744366,-8.244571,-6.869303,-3.770486,-4.8253536,-6.768422,-6.68804,-3.3638294,-3.7450395,-0.95997936,-1.4254233,2.8236842,0.09004341,-1.6511652,-0.20167433,0.25643313,-0.4049962,0.7584451,3.161077,0.060757447,-1.8201853,-0.14423274,1.0922484,-0.11683673,-0.27694944,0.3576672,1.4287292,-0.9756688
real,-276.8709,97.36194,4.782159,-31.076492,-28.7656,-17.337528,-24.715609,-15.97442,-19.733353,0.7963373,-14.1198435,-12.094783,-10.993803,0.71592087,-11.299095,-15.764999,-6.44493,-1.2192283,-2.4216657,-9.080175,1.7720846,-3.8390236,-2.3188946,-2.1950088,-0.5126464,3.048789,-1.4833554,-1.0937382,-3.97951,-2.0964098,-3.9676664,-2.9838648,-4.6794724,0.36401498,-4.520495,0.18401407,-4.4367156,-1.3208511,-4.995676,0.51783353,-3.3178272,-1.5720072,-3.7462149,-1.3640192,-1.5794967,-1.130432,0.071599565,0.06603098,-1.7114764,1.1417041
real,-324.6353,84.952446,-6.555637,-0.8565392,-31.470554,-16.72075,-10.938263,-18.002981,-15.508143,10.205949,-21.095768,-11.93526,-5.733478,1.4117042,-25.31491,1.7725886,-7.3203816,-16.479433,-5.17751,-15.7565155,-4.767939,-3.5273418,-5.615973,7.455997,-3.956199,-0.29138875,5.1545315,-1.9880204,4.359653,-0.13585873,3.1087072,-1.5614214,-5.0589046,-2.0563908,-5.9015427,-6.927758,-3.4396715,-3.310192,-5.3761516,-2.6880562,0.85709774,4.2105894,-0.6595429,-2.384273,-2.3924503,-2.2826965,-1.6182743,-0.7444504,-2.1609976,-0.34317255
real,-318.21234,84.98589,4.4535,28.40024,-13.064675,-31.626255,-17.89145,-12.31926,-26.638157,-9.991474,-14.038933,-6.069357,-19.142563,-3.0504375,-4.7319784,-13.31098,-11.355363,-5.245125,-5.9142337,-8.376144,-4.4078717,-5.04226,-9.277646,-11.834962,-8.051238,-8.036746,-5.047781,-1.213257,-0.3110193,7.450607,-0.76802415,-2.2451785,2.7806847,-0.03265485,-0.49485475,-1.3534759,-5.337841,-2.6696877,-4.5251455,0.7711081,-0.6155728,-0.04692994,-3.4617813,-0.9405333,1.5352641,1.2745042,1.2058542,1.9123564,2.8675377,4.5982885
real,-296.36484,68.70884,16.25704,-0.41020748,-11.122212,-6.175922,-20.275259,-25.01708,-24.910261,2.0661798,-14.422897,-10.119073,-15.010723,2.3789444,-15.761946,-12.680738,-7.50575,-3.8416321,0.6975641,-0.83140004,-0.5256024,0.6267915,-10.888398,-4.6964755,-5.028621,-2.6744432,-4.0393853,-4.0112042,0.016769959,-3.4124413,-1.2010322,1.8713403,-2.8558397,-3.329701,-3.0976553,-1.1674196,-2.7938354,-1.0137323,-1.1074418,2.4188066,-3.2479494,-0.37360543,0.7033275,4.687233,4.2031484,2.2358937,-1.7407612,-4.565294,-6.209875,-0.9991902
real,-345.41003,91.61702,-13.975822,18.700823,-2.6706421,-29.907467,-23.20191,-12.145303,-6.9187837,-13.881605,-25.649092,2.167034,-17.963959,2.3563962,-8.355827,-14.136583,-6.5091763,-8.212784,-4.9352903,-14.91355,-3.4738493,-11.888021,-16.36304,-4.96768,-8.311222,-5.076485,-6.4443245,-0.69104636,4.03302,12.081463,5.470659,13.202655,-0.025297523,1.8379118,-2.5438735,-1.9715098,-0.21757549,-1.9560099,-5.909015,-1.7375238,-2.075323,3.0406327,-1.6644057,-1.7624581,-3.6223183,-3.3223019,2.9816513,-4.093935,-4.5168076,-4.097086
real,-310.4199,103.214806,-5.2515936,-7.1315675,-14.95182,-7.7241764,-9.976541,-32.629078,-37.66305,0.17677459,-15.129375,-10.424173,-17.363476,-3.7913225,-11.882679,-12.7296295,-9.246277,-8.406489,-4.1540866,-2.8654933,-5.4550357,2.1901913,3.9616714,1.0771258,-5.9207854,-2.3114803,-1.179921,-4.907295,-3.5159173,-0.7695425,-6.219516,-1.7352408,-1.564475,-1.311535,-5.738199,-4.1398797,-6.92899,-0.65565646,-5.003594,-0.1917163,-3.1620808,2.021744,-1.403499,2.091226,-0.5573845,2.2774796,1.0771111,0.23705585,0.5653457,2.7167335
