label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
real,-301.48145,113.49567,-21.157621,9.265687,-16.46811,-24.599846,-15.047251,-25.446552,-15.345287,3.099583,-28.91296,-0.26313582,-25.613262,9.694445,-9.360032,-13.884232,-7.962857,-12.372504,-7.236777,-10.77364,-0.52510625,-6.0595098,-9.130213,-2.1763754,-4.1197376,-3.2404602,-2.1777308,-6.3901644,-4.8605514,-1.2905993,-4.2137017,1.9009321,-3.2322009,0.2809457,0.0695089,-2.2673166,-0.17329662,-1.6783221,2.1922684,4.036339,4.7736545,4.6567893,-0.6060826,1.8631308,1.6939898,1.4012796,0.5004561,-2.4020522,1.1374208,0.29389286
real,-279.41263,64.63344,20.823914,32.152424,-17.787588,-22.698908,-17.63632,-27.85545,-25.986206,3.2260616,-19.098919,-10.028141,-19.841614,7.195707,-15.671845,-18.378338,-2.6931584,-10.600682,-9.822075,-8.826408,-7.8300714,-4.863322,-8.429342,0.63636136,-0.45227173,1.2917216,-0.9659486,-4.943474,0.43004656,0.0023146735,-0.39060047,1.2003415,1.0328172,0.55344725,0.13139571,5.7203736,-0.8475323,0.80922145,-3.7822087,1.8717202,-1.8547302,-0.5437586,-3.323131,-5.9078007,-2.144357,-1.1630176,0.105707385,1.7447907,-0.45757335,2.0838406
real,-329.71747,68.86924,-4.1181016,3.6343145,-27.845896,-36.085953,-11.168129,-14.930021,-11.327163,-7.9799623,-26.787655,8.426428,-14.050292,-0.19173528,-9.992705,-11.961494,-6.2527456,-8.610062,-8.406451,-10.629243,-4.527278,-15.9364605,-10.303624,-3.2278287,5.3416343,12.068263,12.3903265,13.449847,-2.8944902,-1.8287572,-7.3000603,-9.929509,-7.0740223,2.4167156,-5.262771,-1.3938291,-5.506728,-5.0856795,-2.0123715,1.6059537,-8.398386,-3.911221,-6.7164917,-1.1566542,-0.089060366,-0.94437075,-1.3322562,3.2181177,4.310247,2.2890155
real,-291.67355,91.45115,-28.103865,10.42986,-13.3119,-17.808302,-18.44411,-14.808925,-12.24992,-3.0825737,-21.597067,-0.8631949,-19.62554,6.5516753,-19.209013,-5.2752223,-4.630115,-17.123297,-2.8694868,-9.122526,-6.568877,-7.720269,-9.271915,-6.967433,-8.867637,-7.505211,1.6477385,1.871337,0.06944619,3.9890077,-4.0746994,-3.8582995,-0.9955206,4.7631383,3.0838344,2.6770926,-1.0186313,-2.7494266,-3.6862562,1.142503,-0.82703084,1.0422366,-5.547987,-3.313522,3.4933496,1.2710491,4.7662272,2.1733987,0.7629191,0.97746754
real,-276.5058,72.74001,1.0203788,8.865565,-29.381271,-18.442404,-16.830734,-28.7576,-24.579714,7.2092366,-14.161314,-2.2278636,-16.145117,1.2539556,-15.894637,-22.571264,-4.8240623,-12.164928,0.80790883,-10.029493,-9.187872,-2.8410218,-7.81413,-4.4296956,-9.992434,-0.4224619,0.04701534,2.6476867,2.3263924,6.3401494,2.6528575,5.028269,0.4934144,3.3221889,0.26889333,-1.8433217,-2.2172146,-4.483385,-3.5268314,3.3118875,-3.6645195,-2.0274081,-6.3381996,0.187146,0.22755584,3.3262131,-1.2352021,-0.7760937,-0.90653044,0.5617615
real,-308.22638,36.246796,15.18273,24.218992,-21.548788,-20.588423,-29.022753,-11.413344,-8.677759,-7.5463443,-22.148111,-1.9943123,-17.997301,3.8835063,-4.6721807,-11.478076,-10.506388,-4.1163783,-3.466439,-8.432647,-3.7433417,-8.338187,-10.108976,-3.5662315,-4.393194,0.22030583,-1.7821057,-0.75934446,0.24182183,0.8796749,-2.5340133,-4.480041,-2.498398,-1.1353968,-6.044861,-4.346822,-3.5725522,-1.8435221,-4.6057043,-1.6454257,-2.3479102,4.4126873,2.4271772,3.3880358,0.10872358,1.161455,-1.8233606,2.8634295,-0.72725564,1.7509097
real,-268.79175,86.86171,-17.45242,13.860131,-8.170319,-33.35737,-33.50518,-23.707842,-9.133877,-0.64580876,-19.132656,0.67183316,-11.421003,3.1527395,-8.981038,-12.90396,-7.4730716,-13.109295,-1.6801126,-15.729238,-6.9109282,-5.1584716,-11.123024,-7.4717927,-3.396542,0.9371735,0.96800256,2.802649,-1.0412999,-1.2001677,-7.4537177,-2.1461015,-2.5525157,-0.3257459,-0.5039536,-2.029724,1.4322609,1.2521429,1.1870172,2.8797042,-2.9463696,-0.33923927,-1.0779847,0.8294899,-3.924018,-3.0105283,-0.8568251,1.9114997,-0.964374,-1.0519135
real,-333.1344,43.370037,23.55697,13.246287,-35.970627,-1.913659,-23.885832,-24.599316,-17.359991,-2.3343349,-20.12326,-7.2746058,-11.5735235,-0.30553967,-17.828358,-6.8266926,-9.065149,-8.755908,-3.37489,-6.570142,-2.5901213,2.176774,-8.5528755,-5.0033245,-3.1300316,-2.3684306,-2.061091,1.4972343,2.1028569,-5.4805827,-2.926157,-0.62233335,-1.3110145,-2.5025346,-6.5201283,-3.847295,-2.6380973,-0.25584322,-4.423849,1.6375046,1.8837918,0.022731995,-2.4693067,3.49531,-0.29117122,-0.5548649,-1.2452846,2.369355,-1.9331943,0.6050574
real,-261.61267,53.76809,1.1297028,15.013345,-12.268582,-19.779095,-39.128498,-13.702092,-10.588658,-6.8946013,-21.767406,1.8538663,-12.351863,8.978642,-9.189674,-14.555135,-6.4925575,-8.569146,-11.920829,-4.3343687,-9.015334,-6.7599297,-7.105794,-6.869447,-8.946471,-0.6591213,-2.3058195,2.3596518,6.0327787,1.446893,-3.4990737,-2.5419214,-1.6818243,1.6032917,1.0655124,1.2208912,-3.893072,-0.9500496,-3.151247,-3.1832764,1.682322,-1.7716118,-1.6201252,1.4565394,-3.1551518,0.8075065,-4.672581,-1.3901415,-0.22431684,-0.5450788
real,-294.15457,86.217896,-22.214487,20.882988,-19.35672,-33.179623,-16.118792,-15.425393,-7.186876,0.12103264,-28.865936,-4.1144958,-18.24786,1.7515765,-10.1785555,-11.115495,-5.337338,-11.954608,-4.7852893,-17.004238,-4.8444324,-9.20647,-4.7256284,-0.9456816,0.82278234,-7.8900084,-6.921282,-2.641904,0.888489,4.332618,-1.6645092,-1.3678968,-5.2704864,-2.3025413,-3.7765045,2.1875696,1.9036628,2.6053548,-0.58997,1.0376254,-2.4622,-0.37630266,0.49728444,3.6121635,1.4994471,2.3106368,2.2950876,4.239181,-1.9887389,-0.29752144
real,-277.91125,74.4532,-7.5837064,6.8752327,-24.441587,-24.090702,-18.113445,-16.44098,-27.437279,1.2054726,-17.20914,-7.8964243,-17.739021,-1.3333683,-12.070449,-11.155448,-12.006114,-8.131407,-2.2516694,-16.034088,-1.8523338,-2.4251993,-7.222208,-1.3476073,-6.081553,-0.8972284,-5.9328136,-4.5369325,-7.1843057,-2.0783417,-5.3520274,-0.71225804,-1.7873468,0.6624271,-0.9074991,6.248816,3.0253274,1.9769496,2.124868,0.26974776,-4.408141,2.1571963,-2.053449,1.8887002,-1.7636017,-1.0987588,1.628871,1.5553149,-1.1681802,1.7214828
