label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
real,-315.8512,119.60781,-14.497633,6.915944,-34.447987,-29.081812,-9.758804,-9.604541,-5.9929485,-2.7210085,-23.050562,-0.8877031,-12.409094,3.2743402,-8.921077,-9.155433,-8.728565,-3.1358016,-3.7190826,-7.0766845,-5.3074913,-6.1218834,-8.875713,-5.001147,-3.0114522
real,-303.44357,84.774086,4.9248214,10.536232,-18.274338,-30.664982,-14.840451,-2.445735,-20.096682,-3.9372234,-14.7898445,-7.854128,-13.34307,4.0337825,-7.904838,-11.736194,-8.292537,-4.41952,-7.646706,-12.0186205,-0.4065182,-9.534342,-6.61522,-4.685521,-9.552095
real,-301.75394,95.124916,-5.1089106,24.773851,-10.900089,-36.409744,-25.162357,-26.693094,-7.052926,-14.879055,-34.56843,8.595648,-23.39184,3.2378342,-4.3827853,-18.006641,-6.466903,-7.2975526,-2.973706,-6.784117,-5.0750155,-5.1649675,-9.308693,-3.9348211,-2.355258
real,-316.2178,123.4751,-19.285254,0.8931816,-11.037202,-12.125558,-19.144672,-32.288177,-17.046465,5.4133906,-18.288319,-10.91551,-14.057768,9.742878,-15.074155,-9.10321,-8.03859,-3.5923426,-4.5771985,-11.051509,-3.9899561,-3.2705896,-10.744366,-8.244571,-6.869303
real,-276.8709,97.36194,4.782159,-31.076492,-28.7656,-17.337528,-24.715609,-15.97442,-19.733353,0.7963373,-14.1198435,-12.094783,-10.993803,0.71592087,-11.299095,-15.764999,-6.44493,-1.2192283,-2.4216657,-9.080175,1.7720846,-3.8390236,-2.3188946,-2.1950088,-0.5126464
real,-324.6353,84.952446,-6.555637,-0.8565392,-31.470554,-16.72075,-10.938263,-18.002981,-15.508143,10.205949,-21.095768,-11.93526,-5.733478,1.4117042,-25.31491,1.7725886,-7.3203816,-16.479433,-5.17751,-15.7565155,-4.767939,-3.5273418,-5.615973,7.455997,-3.956199
real,-318.21234,84.98589,4.4535,28.40024,-13.064675,-31.626255,-17.89145,-12.31926,-26.638157,-9.991474,-14.038933,-6.069357,-19.142563,-3.0504375,-4.7319784,-13.31098,-11.355363,-5.245125,-5.9142337,-8.376144,-4.4078717,-5.04226,-9.277646,-11.834962,-8.051238
real,-296.36484,68.70884,16.25704,-0.41020748,-11.122212,-6.175922,-20.275259,-25.01708,-24.910261,2.0661798,-14.422897,-10.119073,-15.010723,2.3789444,-15.761946,-12.680738,-7.50575,-3.8416321,0.6975641,-0.83140004,-0.5256024,0.6267915,-10.888398,-4.6964755,-5.028621
real,-345.41003,91.61702,-13.975822,18.700823,-2.6706421,-29.907467,-23.20191,-12.145303,-6.9187837,-13.881605,-25.649092,2.167034,-17.963959,2.3563962,-8.355827,-14.136583,-6.5091763,-8.212784,-4.9352903,-14.91355,-3.4738493,-11.888021,-16.36304,-4.96768,-8.311222
real,-310.4199,103.214806,-5.2515936,-7.1315675,-14.95182,-7.7241764,-9.976541,-32.629078,-37.66305,0.17677459,-15.129375,-10.424173,-17.363476,-3.7913225,-11.882679,-12.7296295,-9.246277,-8.406489,-4.1540866,-2.8654933,-5.4550357,2.1901913,3.9616714,1.0771258,-5.9207854
real,-290.67993,42.997128,23.13388,31.650919,-19.173588,-19.889172,-24.997398,-15.638553,-26.760548,-8.635809,-23.498558,-5.2044063,-20.638626,-6.049992,-5.8008566,-14.788216,-7.1950026,-2.5878942,-3.8618443,-4.2404003,-2.542178,-6.085795,-8.154801,0.5014211,-5.2335734
real,-298.6891,59.886307,-3.1708345,-2.236311,-19.92446,-12.746608,-23.221123,-12.693361,-11.856127,4.6591015,-33.18287,0.44322965,-13.390067,4.386425,-10.172254,-12.284524,-10.334582,-10.193987,-3.492722,-10.234173,-1.1434125,-12.883157,-1.9948485,-0.22624853,-0.8947514
real,-299.07538,68.015564,12.800464,26.978304,-17.91778,-18.536451,-18.778898,-16.412159,-19.522743,-6.5595703,-19.06735,-4.6369495,-15.948661,0.1632596,-13.499403,-11.48102,-6.6754804,-8.735433,-4.5342226,-3.4053748,-4.210714,-1.8358438,-6.979613,-1.2970147,-4.91328
